Experiment			unit			drop			layer_no			epoch			batch			loss			
exp_stock			50			0.15			3			150			32			0.0005044794150411256			
exp_stock			50			0.15			3			150			64			0.0007112475964497271			
exp_stock			50			0.15			3			300			32			0.00030281503065038344			
exp_stock			50			0.15			3			300			64			0.0004237720345668588			
exp_stock			50			0.15			5			150			32			0.0005642586384389942			
exp_stock			50			0.15			5			150			64			0.0008563539210531257			
exp_stock			50			0.15			5			300			32			0.00039822596833902804			
exp_stock			50			0.15			5			300			64			0.00039558959013171407			
exp_stock			50			0.15			7			150			32			0.0007457929827196707			
exp_stock			50			0.15			7			150			64			0.0007951689163224464			
exp_stock			50			0.15			7			300			32			0.00038905062128514523			
exp_stock			50			0.15			7			300			64			0.0005482441980083891			
exp_stock			50			0.3			3			150			32			0.0006530356437173082			
exp_stock			50			0.3			3			150			64			0.0009502057609566564			
exp_stock			50			0.3			3			300			32			0.0004038042202280937			
exp_stock			50			0.3			3			300			64			0.0005386000832341431			
exp_stock			50			0.3			5			150			32			0.0008276980765784262			
exp_stock			50			0.3			5			150			64			0.0010796668515610625			
exp_stock			50			0.3			5			300			32			0.000488304147426465			
exp_stock			50			0.3			5			300			64			0.0005037672566996268			
exp_stock			50			0.3			7			150			32			0.0008516319217362467			
exp_stock			50			0.3			7			150			64			0.0010564745493615683			
exp_stock			50			0.3			7			300			32			0.0004585272807842478			
exp_stock			50			0.3			7			300			64			0.0006622644968273333			
exp_stock			100			0.15			3			150			32			0.00039553972462950916			
exp_stock			100			0.15			3			150			64			0.0005046858457410754			
exp_stock			100			0.15			3			300			32			0.0002748607362924495			
exp_stock			100			0.15			3			300			64			0.0003148436485883004			
exp_stock			100			0.15			5			150			32			0.0004010556787248539			
exp_stock			100			0.15			5			150			64			0.0005093337481146452			
exp_stock			100			0.15			5			300			32			0.0003207351764405958			
exp_stock			100			0.15			5			300			64			0.0003264767041224644			
exp_stock			100			0.15			7			150			32			0.0004713140034119914			
exp_stock			100			0.15			7			150			64			0.000636439124053851			
exp_stock			100			0.15			7			300			32			0.000306464277741535			
exp_stock			100			0.15			7			300			64			0.00033565707831645077			
exp_stock			100			0.3			3			150			32			0.000531355266669961			
exp_stock			100			0.3			3			150			64			0.0007612798530110881			
exp_stock			100			0.3			3			300			32			0.00038999648931286983			
exp_stock			100			0.3			3			300			64			0.0005333369637342738			
exp_stock			100			0.3			5			150			32			0.000609756372064408			
exp_stock			100			0.3			5			150			64			0.0007734407601996212			
exp_stock			100			0.3			5			300			32			0.00035427317768801784			
exp_stock			100			0.3			5			300			64			0.00047236751518771986			
exp_stock			100			0.3			7			150			32			0.0005365942714841592			
exp_stock			100			0.3			7			150			64			0.0008567095174841296			
exp_stock			100			0.3			7			300			32			0.0004484360329305383			
exp_stock			100			0.3			7			300			64			0.0005463758281988709			
exp_stock			150			0.15			3			150			32			0.0004594915285854226			
exp_stock			150			0.15			3			150			64			0.0004780981121219396			
exp_stock			150			0.15			3			300			32			0.00029576681376487725			
exp_stock			150			0.15			3			300			64			0.0003116856917438839			
exp_stock			150			0.15			5			150			32			0.00037909847895462436			
exp_stock			150			0.15			5			150			64			0.00041589954263920924			
exp_stock			150			0.15			5			300			32			0.00027755638374597183			
exp_stock			150			0.15			5			300			64			0.0003769521975426473			
exp_stock			150			0.15			7			150			32			0.00041772081472565777			
exp_stock			150			0.15			7			150			64			0.0005479356644633156			
exp_stock			150			0.15			7			300			32			0.00028922416763232467			
exp_stock			150			0.15			7			300			64			0.0003598973887524753			
exp_stock			150			0.3			3			150			32			0.000474760303711472			
exp_stock			150			0.3			3			150			64			0.0005422240075634292			
exp_stock			150			0.3			3			300			32			0.000295825250393739			
exp_stock			150			0.3			3			300			64			0.0005032537774787672			
exp_stock			150			0.3			5			150			32			0.000636917692379799			
exp_stock			150			0.3			5			150			64			0.0005574878740539535			
exp_stock			150			0.3			5			300			32			0.0003865244448047368			
